date,origin_country,destination_region,barrels,vessel_count
2020-02-06,Iraq,Global,4691316,23
2020-02-06,UAE,Global,3585426,18
2020-02-07,Saudi Arabia,Global,9228795,46
2020-02-07,USA,Global,8192681,41
2020-02-07,Russia,Global,7610771,38
2020-02-07,Iraq,Global,4494676,22
2020-02-07,UAE,Global,3394468,17
2020-02-08,Saudi Arabia,Global,9057432,45
2020-02-08,USA,Global,8252869,41
2020-02-08,Russia,Global,7656523,38
2020-02-08,Iraq,Global,4437549,22
2020-02-08,UAE,Global,3650386,18
2020-02-09,Saudi Arabia,Global,9184884,46
2020-02-09,USA,Global,7994508,40
2020-02-09,Russia,Global,7650145,38
2020-02-09,Iraq,Global,4635818,23
2020-02-09,UAE,Global,3455641,17
2020-02-10,Saudi Arabia,Global,9183394,46
2020-02-10,USA,Global,8213844,41
2020-02-10,Russia,Global,7792184,39
2020-02-10,Iraq,Global,4787796,24
2020-02-10,UAE,Global,3423076,17
2020-02-11,Saudi Arabia,Global,8991653,45
2020-02-11,USA,Global,8209582,41
2020-02-11,Russia,Global,7709395,39
2020-02-11,Iraq,Global,4709584,24
2020-02-11,UAE,Global,4210237,21
2020-02-12,Saudi Arabia,Global,9220522,46
2020-02-12,USA,Global,8305224,42
2020-02-12,Russia,Global,7777989,39
2020-02-12,Iraq,Global,4732597,24
2020-02-12,UAE,Global,3587598,18
2020-02-13,Saudi Arabia,Global,9251256,46
2020-02-13,USA,Global,8021487,40
2020-02-13,Russia,Global,7601888,38
2020-02-13,Iraq,Global,4564606,23
2020-02-13,UAE,Global,3649692,18
2020-02-14,Saudi Arabia,Global,9487090,47
2020-02-14,USA,Global,7859802,39
2020-02-14,Russia,Global,7742831,39
2020-02-14,Iraq,Global,4397984,22
2020-02-14,UAE,Global,3569102,18
2020-02-15,Saudi Arabia,Global,9305674,47
2020-02-15,USA,Global,8151973,41
2020-02-15,Russia,Global,7480670,37
2020-02-15,Iraq,Global,4535036,23
2020-02-15,UAE,Global,3744271,19
2020-02-16,Saudi Arabia,Global,9035174,45
2020-02-16,USA,Global,8177198,41
2020-02-16,Russia,Global,7651565,38
2020-02-16,Iraq,Global,4546989,23
2020-02-16,UAE,Global,3966320,20
2020-02-17,Saudi Arabia,Global,9242171,46
2020-02-17,USA,Global,7843312,39
2020-02-17,Russia,Global,7675052,38
2020-02-17,Iraq,Global,4547815,23
2020-02-17,UAE,Global,3774948,19
2020-02-18,Saudi Arabia,Global,9030516,45
2020-02-18,USA,Global,8132184,41
2020-02-18,Russia,Global,7725143,39
2020-02-18,Iraq,Global,4779258,24
2020-02-18,UAE,Global,3469350,17
2020-02-19,Saudi Arabia,Global,9101486,46
2020-02-19,USA,Global,8080419,40
2020-02-19,Russia,Global,7553662,38
2020-02-19,Iraq,Global,4916479,25
2020-02-19,UAE,Global,3712408,19
2020-02-20,Saudi Arabia,Global,8964750,45
2020-02-20,USA,Global,8291562,41
2020-02-20,Russia,Global,7972206,40
2020-02-20,Iraq,Global,4808753,24
2020-02-20,UAE,Global,3425977,17
2020-02-21,Saudi Arabia,Global,9083424,45
2020-02-21,USA,Global,8346096,42
2020-02-21,Russia,Global,7549909,38
2020-02-21,Iraq,Global,4722632,24
2020-02-21,UAE,Global,3772254,19
2020-02-22,Saudi Arabia,Global,9019150,45
2020-02-22,USA,Global,8149260,41
2020-02-22,Russia,Global,7171999,36
2020-02-22,Iraq,Global,4504531,23
2020-02-22,UAE,Global,3620304,18
2020-02-23,Saudi Arabia,Global,8973105,45
2020-02-23,USA,Global,8405134,42
2020-02-23,Russia,Global,7445751,37
2020-02-23,Iraq,Global,4594266,23
2020-02-23,UAE,Global,3679883,18
2020-02-24,Saudi Arabia,Global,9378499,47
2020-02-24,USA,Global,7946928,40
2020-02-24,Russia,Global,7836782,39
2020-02-24,Iraq,Global,4663843,23
2020-02-24,UAE,Global,3515082,18
2020-02-25,Saudi Arabia,Global,9233611,46
2020-02-25,USA,Global,8194154,41
2020-02-25,Russia,Global,7574263,38
2020-02-25,Iraq,Global,4674766,23
2020-02-25,UAE,Global,3606498,18
2020-02-26,Saudi Arabia,Global,9183262,46
2020-02-26,USA,Global,8265554,41
2020-02-26,Russia,Global,7904137,40
2020-02-26,Iraq,Global,4480562,22
2020-02-26,UAE,Global,3986189,20
2020-02-27,Saudi Arabia,Global,8875311,44
2020-02-27,USA,Global,8145356,41
2020-02-27,Russia,Global,7756371,39
2020-02-27,Iraq,Global,4710272,24
2020-02-27,UAE,Global,3574719,18
2020-02-28,Saudi Arabia,Global,9138745,46
2020-02-28,USA,Global,8096013,40
2020-02-28,Russia,Global,7581559,38
2020-02-28,Iraq,Global,4797404,24
2020-02-28,UAE,Global,3723516,19
2020-02-29,Saudi Arabia,Global,9067816,45
2020-02-29,USA,Global,8306693,42
2020-02-29,Russia,Global,7717848,39
2020-02-29,Iraq,Global,4793682,24
2020-02-29,UAE,Global,3766197,19
2020-03-01,Saudi Arabia,Global,9049142,45
2020-03-01,USA,Global,8089464,40
2020-03-01,Russia,Global,7785585,39
2020-03-01,Iraq,Global,4765047,24
2020-03-01,UAE,Global,3670356,18
2020-03-02,Saudi Arabia,Global,9192777,46
2020-03-02,USA,Global,8366828,42
2020-03-02,Russia,Global,7586443,38
2020-03-02,Iraq,Global,4757243,24
2020-03-02,UAE,Global,3644849,18
2020-03-03,Saudi Arabia,Global,9144161,46
2020-03-03,USA,Global,8341630,42
2020-03-03,Russia,Global,7800626,39
2020-03-03,Iraq,Global,4798840,24
2020-03-03,UAE,Global,3872635,19
2020-03-04,Saudi Arabia,Global,9181547,46
2020-03-04,USA,Global,8280689,41
2020-03-04,Russia,Global,7631856,38
2020-03-04,Iraq,Global,4727021,24
2020-03-04,UAE,Global,3658875,18
2020-03-05,Saudi Arabia,Global,9194476,46
2020-03-05,USA,Global,8269200,41
2020-03-05,Russia,Global,7557193,38
2020-03-05,Iraq,Global,4993784,25
2020-03-05,UAE,Global,3529024,18
2020-03-06,Saudi Arabia,Global,8999274,45
2020-03-06,USA,Global,8355119,42
2020-03-06,Russia,Global,7800152,39
2020-03-06,Iraq,Global,4775021,24
2020-03-06,UAE,Global,3775655,19
2020-03-07,Saudi Arabia,Global,9180989,46
2020-03-07,USA,Global,8048237,40
2020-03-07,Russia,Global,7694196,38
2020-03-07,Iraq,Global,4581251,23
2020-03-07,UAE,Global,3829094,19
2020-03-08,Saudi Arabia,Global,9162136,46
2020-03-08,USA,Global,8060370,40
2020-03-08,Russia,Global,7635986,38
2020-03-08,Iraq,Global,4746134,24
2020-03-08,UAE,Global,3599636,18
2020-03-09,Saudi Arabia,Global,9062175,45
2020-03-09,USA,Global,8222061,41
2020-03-09,Russia,Global,7722253,39
2020-03-09,Iraq,Global,4609467,23
2020-03-09,UAE,Global,3614853,18
2020-03-10,Saudi Arabia,Global,9221575,46
2020-03-10,USA,Global,7969555,40
2020-03-10,Russia,Global,7475648,37
2020-03-10,Iraq,Global,4579001,23
2020-03-10,UAE,Global,3654750,18
2020-03-11,Saudi Arabia,Global,9234607,46
2020-03-11,USA,Global,8409275,42
2020-03-11,Russia,Global,7816620,39
2020-03-11,Iraq,Global,4663980,23
2020-03-11,UAE,Global,3685119,18
2020-03-12,Saudi Arabia,Global,9038740,45
2020-03-12,USA,Global,8186342,41
2020-03-12,Russia,Global,7645820,38
2020-03-12,Iraq,Global,4737527,24
2020-03-12,UAE,Global,3565035,18
2020-03-13,Saudi Arabia,Global,9268113,46
2020-03-13,USA,Global,8420122,42
2020-03-13,Russia,Global,7673897,38
2020-03-13,Iraq,Global,4750468,24
2020-03-13,UAE,Global,3793733,19
2020-03-14,Saudi Arabia,Global,9131064,46
2020-03-14,USA,Global,8224861,41
2020-03-14,Russia,Global,7693136,38
2020-03-14,Iraq,Global,4705898,24
2020-03-14,UAE,Global,3575295,18
2020-03-15,Saudi Arabia,Global,9195902,46
2020-03-15,USA,Global,8266926,41
2020-03-15,Russia,Global,7909897,40
2020-03-15,Iraq,Global,4836117,24
2020-03-15,UAE,Global,4015203,20
2020-03-16,Saudi Arabia,Global,9078046,45
2020-03-16,USA,Global,8323996,42
2020-03-16,Russia,Global,7720649,39
2020-03-16,Iraq,Global,5021618,25
2020-03-16,UAE,Global,3571903,18
2020-03-17,Saudi Arabia,Global,9068055,45
2020-03-17,USA,Global,8104104,41
2020-03-17,Russia,Global,7375428,37
2020-03-17,Iraq,Global,4615150,23
2020-03-17,UAE,Global,3580143,18
2020-03-18,Saudi Arabia,Global,9217379,46
2020-03-18,USA,Global,8246083,41
2020-03-18,Russia,Global,7976246,40
2020-03-18,Iraq,Global,4837384,24
2020-03-18,UAE,Global,3608285,18
2020-03-19,Saudi Arabia,Global,9060807,45
2020-03-19,USA,Global,8269358,41
2020-03-19,Russia,Global,7497535,37
2020-03-19,Iraq,Global,4970288,25
2020-03-19,UAE,Global,3872486,19
2020-03-20,Saudi Arabia,Global,9125885,46
2020-03-20,USA,Global,7939291,40
2020-03-20,Russia,Global,7899342,39
2020-03-20,Iraq,Global,4679080,23
2020-03-20,UAE,Global,3881934,19
2020-03-21,Saudi Arabia,Global,8957731,45
2020-03-21,USA,Global,8106989,41
2020-03-21,Russia,Global,7697681,38
2020-03-21,Iraq,Global,4703942,24
2020-03-21,UAE,Global,3629385,18
2020-03-22,Saudi Arabia,Global,9290897,46
2020-03-22,USA,Global,8037327,40
2020-03-22,Russia,Global,7676113,38
2020-03-22,Iraq,Global,4715514,24
2020-03-22,UAE,Global,3774636,19
2020-03-23,Saudi Arabia,Global,9304729,47
2020-03-23,USA,Global,8029290,40
2020-03-23,Russia,Global,7467869,37
2020-03-23,Iraq,Global,4889638,24
2020-03-23,UAE,Global,3747834,19
2020-03-24,Saudi Arabia,Global,9086171,45
2020-03-24,USA,Global,8431117,42
2020-03-24,Russia,Global,7715796,39
2020-03-24,Iraq,Global,4875339,24
2020-03-24,UAE,Global,3708572,19
2020-03-25,Saudi Arabia,Global,9507956,48
2020-03-25,USA,Global,8462145,42
2020-03-25,Russia,Global,7661499,38
2020-03-25,Iraq,Global,4844579,24
2020-03-25,UAE,Global,3795650,19
2020-03-26,Saudi Arabia,Global,9404479,47
2020-03-26,USA,Global,8054445,40
2020-03-26,Russia,Global,7802092,39
2020-03-26,Iraq,Global,4857947,24
2020-03-26,UAE,Global,3435373,17
2020-03-27,Saudi Arabia,Global,9021976,45
2020-03-27,USA,Global,7893580,39
2020-03-27,Russia,Global,7659054,38
2020-03-27,Iraq,Global,4807096,24
2020-03-27,UAE,Global,3924819,20
2020-03-28,Saudi Arabia,Global,9210801,46
2020-03-28,USA,Global,8443979,42
2020-03-28,Russia,Global,7492672,37
2020-03-28,Iraq,Global,4444180,22
2020-03-28,UAE,Global,3691355,18
2020-03-29,Saudi Arabia,Global,9257460,46
2020-03-29,USA,Global,8194946,41
2020-03-29,Russia,Global,7389734,37
2020-03-29,Iraq,Global,4686482,23
2020-03-29,UAE,Global,3504180,18
2020-03-30,Saudi Arabia,Global,9300405,47
2020-03-30,USA,Global,8254943,41
2020-03-30,Russia,Global,7558972,38
2020-03-30,Iraq,Global,4622874,23
2020-03-30,UAE,Global,3541072,18
2020-03-31,Saudi Arabia,Global,9190596,46
2020-03-31,USA,Global,8343269,42
2020-03-31,Russia,Global,7552139,38
2020-03-31,Iraq,Global,4775605,24
2020-03-31,UAE,Global,3620460,18
2020-04-01,Saudi Arabia,Global,9081052,45
2020-04-01,USA,Global,8183929,41
2020-04-01,Russia,Global,7544697,38
2020-04-01,Iraq,Global,4616936,23
2020-04-01,UAE,Global,3520302,18
2020-04-02,Saudi Arabia,Global,9494618,47
2020-04-02,USA,Global,8205199,41
2020-04-02,Russia,Global,7594950,38
2020-04-02,Iraq,Global,4732006,24
2020-04-02,UAE,Global,3683060,18
2020-04-03,Saudi Arabia,Global,9166631,46
2020-04-03,USA,Global,8291901,41
2020-04-03,Russia,Global,7813402,39
2020-04-03,Iraq,Global,4620201,23
2020-04-03,UAE,Global,3613403,18
2020-04-04,Saudi Arabia,Global,9158326,46
2020-04-04,USA,Global,7854295,39
2020-04-04,Russia,Global,7472305,37
2020-04-04,Iraq,Global,4904615,25
2020-04-04,UAE,Global,3946329,20
2020-04-05,Saudi Arabia,Global,9161976,46
2020-04-05,USA,Global,8285815,41
2020-04-05,Russia,Global,7746019,39
2020-04-05,Iraq,Global,5161164,26
2020-04-05,UAE,Global,3867268,19
2020-04-06,Saudi Arabia,Global,9179833,46
2020-04-06,USA,Global,8055690,40
2020-04-06,Russia,Global,7458054,37
2020-04-06,Iraq,Global,4729541,24
2020-04-06,UAE,Global,3585568,18
2020-04-07,Saudi Arabia,Global,8985313,45
2020-04-07,USA,Global,8101665,41
2020-04-07,Russia,Global,7536419,38
2020-04-07,Iraq,Global,4951723,25
2020-04-07,UAE,Global,3830897,19
2020-04-08,Saudi Arabia,Global,9197027,46
2020-04-08,USA,Global,8420214,42
2020-04-08,Russia,Global,7709828,39
2020-04-08,Iraq,Global,4569030,23
2020-04-08,UAE,Global,3926691,20
2020-04-09,Saudi Arabia,Global,9278572,46
2020-04-09,USA,Global,8042149,40
2020-04-09,Russia,Global,7669185,38
2020-04-09,Iraq,Global,4566393,23
2020-04-09,UAE,Global,3490316,17
2020-04-10,Saudi Arabia,Global,9336116,47
2020-04-10,USA,Global,8483602,42
2020-04-10,Russia,Global,7487404,37
2020-04-10,Iraq,Global,4781635,24
2020-04-10,UAE,Global,3599593,18
2020-04-11,Saudi Arabia,Global,9123517,46
2020-04-11,USA,Global,8107726,41
2020-04-11,Russia,Global,7566987,38
2020-04-11,Iraq,Global,4703864,24
2020-04-11,UAE,Global,3571943,18
2020-04-12,Saudi Arabia,Global,9236491,46
2020-04-12,USA,Global,8188387,41
2020-04-12,Russia,Global,7660081,38
2020-04-12,Iraq,Global,4559788,23
2020-04-12,UAE,Global,3609407,18
2020-04-13,Saudi Arabia,Global,9308511,47
2020-04-13,USA,Global,8270340,41
2020-04-13,Russia,Global,7548569,38
2020-04-13,Iraq,Global,4710102,24
2020-04-13,UAE,Global,3807910,19
2020-04-14,Saudi Arabia,Global,8944013,45
2020-04-14,USA,Global,8275928,41
2020-04-14,Russia,Global,7595030,38
2020-04-14,Iraq,Global,4780013,24
2020-04-14,UAE,Global,3579935,18
2020-04-15,Saudi Arabia,Global,8922855,45
2020-04-15,USA,Global,7949456,40
2020-04-15,Russia,Global,7700800,39
2020-04-15,Iraq,Global,4732546,24
2020-04-15,UAE,Global,3557940,18
2020-04-16,Saudi Arabia,Global,9288483,46
2020-04-16,USA,Global,7943466,40
2020-04-16,Russia,Global,7682782,38
2020-04-16,Iraq,Global,4511042,23
2020-04-16,UAE,Global,3594919,18
2020-04-17,Saudi Arabia,Global,9198853,46
2020-04-17,USA,Global,8062682,40
2020-04-17,Russia,Global,7634060,38
2020-04-17,Iraq,Global,4842687,24
2020-04-17,UAE,Global,3605210,18
2020-04-18,Saudi Arabia,Global,9316090,47
2020-04-18,USA,Global,8021280,40
2020-04-18,Russia,Global,7770207,39
2020-04-18,Iraq,Global,4906971,25
2020-04-18,UAE,Global,3319990,17
2020-04-19,Saudi Arabia,Global,9070138,45
2020-04-19,USA,Global,8276233,41
2020-04-19,Russia,Global,7659216,38
2020-04-19,Iraq,Global,4745344,24
2020-04-19,UAE,Global,3599075,18
2020-04-20,Saudi Arabia,Global,9201541,46
2020-04-20,USA,Global,8165201,41
2020-04-20,Russia,Global,7863720,39
2020-04-20,Iraq,Global,4726715,24
2020-04-20,UAE,Global,3739193,19
2020-04-21,Saudi Arabia,Global,9125595,46
2020-04-21,USA,Global,8114235,41
2020-04-21,Russia,Global,7622493,38
2020-04-21,Iraq,Global,4746544,24
2020-04-21,UAE,Global,3624229,18
2020-04-22,Saudi Arabia,Global,9229611,46
2020-04-22,USA,Global,8497455,42
2020-04-22,Russia,Global,7816813,39
2020-04-22,Iraq,Global,4637241,23
2020-04-22,UAE,Global,3866327,19
2020-04-23,Saudi Arabia,Global,9123647,46
2020-04-23,USA,Global,7879139,39
2020-04-23,Russia,Global,7533645,38
2020-04-23,Iraq,Global,4404239,22
2020-04-23,UAE,Global,3632131,18
2020-04-24,Saudi Arabia,Global,9186279,46
2020-04-24,USA,Global,8434982,42
2020-04-24,Russia,Global,7732556,39
2020-04-24,Iraq,Global,4650652,23
2020-04-24,UAE,Global,3807928,19
2020-04-25,Saudi Arabia,Global,8850451,44
2020-04-25,USA,Global,8217463,41
2020-04-25,Russia,Global,7797751,39
2020-04-25,Iraq,Global,4460333,22
2020-04-25,UAE,Global,3853684,19
2020-04-26,Saudi Arabia,Global,9231446,46
2020-04-26,USA,Global,8118378,41
2020-04-26,Russia,Global,7775588,39
2020-04-26,Iraq,Global,5021275,25
2020-04-26,UAE,Global,3707951,19
2020-04-27,Saudi Arabia,Global,9216401,46
2020-04-27,USA,Global,8110264,41
2020-04-27,Russia,Global,7551691,38
2020-04-27,Iraq,Global,4803718,24
2020-04-27,UAE,Global,3550755,18
2020-04-28,Saudi Arabia,Global,9188346,46
2020-04-28,USA,Global,8105963,41
2020-04-28,Russia,Global,7749458,39
2020-04-28,Iraq,Global,4727661,24
2020-04-28,UAE,Global,3833242,19
2020-04-29,Saudi Arabia,Global,9099500,45
2020-04-29,USA,Global,8135521,41
2020-04-29,Russia,Global,7529188,38
2020-04-29,Iraq,Global,4609358,23
2020-04-29,UAE,Global,3732598,19
2020-04-30,Saudi Arabia,Global,9287890,46
2020-04-30,USA,Global,8036016,40
2020-04-30,Russia,Global,7804782,39
2020-04-30,Iraq,Global,4877687,24
2020-04-30,UAE,Global,3736356,19
2020-05-01,Saudi Arabia,Global,9454148,47
2020-05-01,USA,Global,8056560,40
2020-05-01,Russia,Global,7485930,37
2020-05-01,Iraq,Global,4405820,22
2020-05-01,UAE,Global,3897035,19
2020-05-02,Saudi Arabia,Global,9269019,46
2020-05-02,USA,Global,8162527,41
2020-05-02,Russia,Global,7712860,39
2020-05-02,Iraq,Global,4502041,23
2020-05-02,UAE,Global,4037727,20
2020-05-03,Saudi Arabia,Global,9188433,46
2020-05-03,USA,Global,8185459,41
2020-05-03,Russia,Global,7777915,39
2020-05-03,Iraq,Global,4741201,24
2020-05-03,UAE,Global,3702632,19
2020-05-04,Saudi Arabia,Global,9048614,45
2020-05-04,USA,Global,8237905,41
2020-05-04,Russia,Global,7949489,40
2020-05-04,Iraq,Global,4868998,24
2020-05-04,UAE,Global,3906163,20
2020-05-05,Saudi Arabia,Global,9088588,45
2020-05-05,USA,Global,8016830,40
2020-05-05,Russia,Global,7646403,38
2020-05-05,Iraq,Global,4673630,23
2020-05-05,UAE,Global,3829400,19
2020-05-06,Saudi Arabia,Global,8909438,45
2020-05-06,USA,Global,8392740,42
2020-05-06,Russia,Global,7639606,38
2020-05-06,Iraq,Global,4599275,23
2020-05-06,UAE,Global,3511492,18
2020-05-07,Saudi Arabia,Global,8913067,45
2020-05-07,USA,Global,8284772,41
2020-05-07,Russia,Global,7672294,38
2020-05-07,Iraq,Global,4467802,22
2020-05-07,UAE,Global,3467034,17
2020-05-08,Saudi Arabia,Global,9108869,46
2020-05-08,USA,Global,8409590,42
2020-05-08,Russia,Global,7620298,38
2020-05-08,Iraq,Global,4433765,22
2020-05-08,UAE,Global,3622375,18
2020-05-09,Saudi Arabia,Global,9116221,46
2020-05-09,USA,Global,7752597,39
2020-05-09,Russia,Global,7648986,38
2020-05-09,Iraq,Global,4622490,23
2020-05-09,UAE,Global,3761561,19
2020-05-10,Saudi Arabia,Global,9432320,47
2020-05-10,USA,Global,8323962,42
2020-05-10,Russia,Global,7614644,38
2020-05-10,Iraq,Global,4488998,22
2020-05-10,UAE,Global,4040981,20
2020-05-11,Saudi Arabia,Global,9161660,46
2020-05-11,USA,Global,8154867,41
2020-05-11,Russia,Global,7649159,38
2020-05-11,Iraq,Global,4682490,23
2020-05-11,UAE,Global,3631124,18
2020-05-12,Saudi Arabia,Global,9064484,45
2020-05-12,USA,Global,8068505,40
2020-05-12,Russia,Global,7645620,38
2020-05-12,Iraq,Global,4569020,23
